"","ADAL","ADAR","ADEL","ADER","ADFL","ADFR","ADLL","ADLR","AFDL","AFDR","AIAL","AIAR","AIBL","AIBR","AIML","AIMR","AINL","AINR","AIYL","AIYR","AIZL","AIZR","ALA","ALML","ALMR","AQR","ASEL","ASER","ASGL","ASGR","ASHL","ASHR","ASIL","ASIR","ASJL","ASJR","ASKL","ASKR","AUAL","AUAR","AVHL","AVHR","AVJL","AVJR","AVKL","AVKR","AVL","AWAL","AWAR","AWBL","AWBR","AWCL","AWCR","BAGL","BAGR","BDUL","BDUR","CEPDL","CEPDR","CEPVL","CEPVR","DVA","DVC","FLPL","FLPR","IL1DL","IL1DR","IL1L","IL1R","IL1VL","IL1VR","IL2DL","IL2DR","IL2L","IL2R","IL2VL","IL2VR","OLLL","OLLR","OLQDL","OLQDR","OLQVL","OLQVR","PVCL","PVCR","PVPL","PVPR","PVQL","PVQR","PVR","PVT","RIAL","RIAR","RIBL","RIBR","RICL","RICR","RIFL","RIFR","RIGL","RIGR","RIH","RIML","RIMR","RIR","RIS","RIVL","RIVR","RMDDL","RMDDR","RMDL","RMDR","RMDVL","RMDVR","RMED","RMEV","RMGL","RMGR","RMHL","RMHR","SAADL","SAADR","SAAVL","SAAVR","SDQR","SMBDL","SMBDR","SMBVL","SMBVR","SMDDL","SMDDR","SMDVL","SMDVR","URADL","URADR","URAVL","URAVR","URBL","URBR","URXL","URXR","URYDL","URYDR","URYVL","URYVR","AVAL","AVBL","AVBR","AVDR","RIPL","AVEL","RIPR","AVAR","AVDL","SIBDL","RID","AVER","SIADL","RMEL","RMER","SIBVL","SIBVR","SIBDR","SIAVR","SIAVL","SIADR","ALNR","ALNL"
"AIAL",0,0,0,0,0,0,0,0,0,0,0,0,0.0102358901618887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010256360161657,0,0,0,0,0,0.0148845564501852,0,0,0,0,0,0,0,0,0,0,0.0109729464600728,0,0,0,0.011223451436891,0.0112839194341716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231618594359617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIAR",0,0,0,0,0,0,0,0.0135359155322747,0,0,0,0,0,0.0104574346138585,0,0,0,0,0,0,0,0.0071524141357132,0,0,0,0,0,0.0108487104000314,0,0,0,0.0112205901645424,0,0,0,0,0,0.01507989039147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108819371817763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280188049932541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIBL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100740823240569,0,0,0,0,0,0,0,0.00628639844227201,0.00966253243930518,0,0,0.00910813862450089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00428788869593767,0,0,0,0,0,0,0,0,0,0.00648852825304976,0,0.0122514556284396,0,0,0,0,0,0,0,0,0,0,0,0,0.00510940501367332,0.00621291420525626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIBR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100116797487048,0.00409675728091744,0,0,0,0,0,0,0,0.00986719896377007,0.00595994218721961,0,0,0,0,0,0,0,0,0,0,0,0.0099844819219627,0,0,0,0,0,0.00649616380306485,0,0,0,0,0,0,0,0.00766067727301248,0,0.0120365060921453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00543648705651223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIML",0,0,0,0,0,0,0,0,0,0,0.00921576817030193,0,0,0,0,0.00778741639702315,0,0,0,0,0,0,0,0.184726338160881,0,0,0,0,0.0178676106955785,0,0,0,0,0,0.0120452102585167,0,0.02206397727278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013907315588949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIMR",0,0,0,0,0,0,0,0,0,0,0.00403539897539575,0.00292958825231892,0,0,0,0,0,0,0,0,0,0,0,0,0.174132919919041,0,0,0,0,0.0123556888700357,0.0137618817061385,0.012044588590421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00993421505847971,0,0,0,0,0,0,0.0145933689238255,0,0,0,0,0,0,0,0,0,0,0,0,0
"AINL",0,0,0,0,0,0,0,0,0.0107055205574624,0.0172418316502699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00506611550062028,0,0,0,0,0,0,0,0,0,0,0,0,0.0154445612696671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210664972716604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012983081469864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181911533933737,0,0,0,0,0,0,0,0,0,0,0,0
"AINR",0,0,0,0,0,0,0,0,0.0164541134703074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150903698606512,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00871012818056513,0.0246862783941429,0.0201104939374012,0,0,0,0,0.0231948944463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129098000638081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161300526996582,0,0,0,0,0,0,0,0,0,0,0,0
"AIYL",0,0,0,0,0.0153785759682911,0,0,0,0.0149179380167594,0,0,0,0,0,0,0,0,0,0,0,0.00557594415351562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245093889822095,0.0254846828289195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176751217879468,0,0.00855735043416623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIYR",0,0,0,0,0,0.00895335562791963,0,0,0,0.00892496339015601,0,0,0,0,0,0,0,0,0,0,0,0.00820904208879605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625675212645307,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170853815640008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103642989067339,0,0.0051000369759689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIZL",0,0,0,0,0.011347118952211,0,0,0,0,0,0.0074786981362066,0,0.00967757042889639,0.0139245707188094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00921353968777066,0,0,0,0,0.0240049000876644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137812953825783,0,0.00511154074741658,0,0,0,0,0,0,0,0,0.00508104926725278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00822414216746191,0,0.00665373914967179,0,0,0,0.0139842732756077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136683464035065,0,0,0,0,0.0128737551394543,0,0,0,0,0,0.0156822366817922,0,0,0,0,0,0,0,0,0,0,0
"AIZR",0,0,0,0,0,0.00996021229771861,0,0,0,0,0,0.0071524141357132,0.0135032078168023,0.00839600458830718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012503922320866,0,0,0,0,0,0,0,0,0,0,0.00522228477745852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00744422373177688,0,0.00669240823737054,0,0,0,0.0128872973413988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015820710738321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153017466098645,0.0150724487113491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171806326285043,0.0163906362488045,0,0,0,0,0.0180161172608376,0.0169488475036837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096253555096682,0,0,0,0,0,0.00883128445056975,0,0,0,0,0,0,0,0,0,0,0
"ALML",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107820351125002,0,0.205439377394601,0,0.212892655628407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312601665289545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0913897098211999,0,0.187891842514891,0,0.195003058160515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33086718057638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149110570260849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17945563072861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AQR",0,0.00308059656103733,0,0.00380787091102101,0,0,0,0,0,0,0,0,0.0261115269292725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491680284723054,0,0,0,0,0,0,0,0,0.0272533801948836,0,0,0,0,0,0,0,0,0,0,0,0.0255453359398785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307826659869743,0.022071301923397,0,0.0169490137378993,0,0,0,0.0267694594293688,0.0221323672119873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
