"","ADAL","ADAR","ADEL","ADER","ADFL","ADFR","ADLL","ADLR","AFDL","AFDR","AIAL","AIAR","AIBL","AIBR","AIML","AIMR","AINL","AINR","AIYL","AIYR","AIZL","AIZR","ALA","ALML","ALMR","ALNL","ALNR","AQR","ASEL","ASER","ASGL","ASGR","ASHL","ASHR","ASIL","ASIR","ASJL","ASJR","ASKL","ASKR","AUAL","AUAR","AVFL","AVFR","AVHL","AVHR","AVJL","AVJR","AVKL","AVKR","AVM","AWAL","AWAR","AWBL","AWBR","AWCL","AWCR","BAGL","BAGR","BDUL","BDUR","CEPDL","CEPDR","CEPVL","CEPVR","DVA","DVC","FLPL","FLPR","IL1DL","IL1DR","IL1L","IL1R","IL1VL","IL1VR","IL2DL","IL2DR","IL2L","IL2R","IL2VL","IL2VR","OLLL","OLLR","OLQDL","OLQDR","OLQVL","OLQVR","PVCL","PVCR","PVPL","PVPR","PVQL","PVQR","PVR","PVT","RIAL","RIAR","RIBL","RIBR","RICL","RICR","RIFL","RIFR","RIGL","RIGR","RIH","RIML","RIMR","RIR","RIS","RIVL","RIVR","RMDDL","RMDDR","RMDL","RMDR","RMDVL","RMDVR","RMED","RMEV","RMFL","RMFR","RMGL","RMGR","RMHL","RMHR","SAADL","SAADR","SAAVL","SAAVR","SDQL","SDQR","SMBDL","SMBDR","SMBVL","SMBVR","SMDDL","SMDDR","SMDVL","SMDVR","URADL","URADR","URAVL","URAVR","URBL","URBR","URXL","URXR","URYDL","URYDR","URYVL","URYVR","AVAL","AVAR","AVBL","AVBR","RIPL","AVDL","RIPR","AVDR","SIBDL","SIBVL","AVEL","SIADR","SIADL","AVER","SIAVR","RMEL","RMER","SIBVR","SIBDR","RID","SIAVL","AVL"
"AIAL",0.0292435499632505,0,0,0,0,0,0.0184139096138116,0,0,0,0,0,0.014186584610337,0,0,0,0,0.0161986726018677,0,0,0.0103652132063214,0,0,0,0,0,0,0,0,0,0.0160361304413269,0,0,0,0,0,0,0,0.0206294729748181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155553098862173,0.0156391164087641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321015244814207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIAR",0,0.0260341522949903,0,0,0,0,0,0,0,0,0,0,0,0.0144936374472775,0,0,0,0,0,0,0,0.009912995030199,0,0,0,0,0,0,0,0,0,0.0161019498343756,0,0,0,0,0,0,0,0.0209001989636164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150819831115847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388330806046855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIBL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01396232462457,0,0,0,0,0,0,0,0.00871272766560507,0.013391930924651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00958325377367338,0,0,0,0,0,0,0,0,0.00899287249106897,0,0.0169800876253812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00861088109149551,0,0,0,0,0,0,0,0,0.00907413099833808,0,0,0,0,0,0,0,0,0,0
"AIBR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164434229001104,0,0,0,0,0,0,0.706029306030044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138758368446961,0.00567796184548206,0,0,0,0,0,0,0,0.0136755915462778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084056496532838,0,0,0,0,0,0.00900345509547585,0,0,0,0,0,0,0,0,0.0106174299047015,0,0.0166821751101662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00753478030639414,0,0,0,0,0,0,0,0,0.00969364928058572,0,0,0,0,0,0,0,0,0
"AIML",0,0,0,0,0,0,0,0,0,0,0.0127727313237518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247638814903631,0,0,0,0,0,0.0166942387793477,0,0.0305798983254319,0,0,0,0.0149190596684451,0.0162979298805285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIMR",0,0,0,0,0,0,0,0,0,0,0,0.00406030652514377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171245512409267,0,0,0,0,0,0.00796401454787408,0,0.0227624062302434,0,0,0,0.0251973120832114,0,0.0169636836078393,0,0,0,0,0,0,0,0,0.0195435481085671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266382879417719,0,0,0,0,0,0,0,0,0.0125560925948322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259658895371047,0,0,0,0,0,0,0,0.0137684735021035,0,0,0,0,0.0202258972803897,0,0,0,0,0,0,0,0,0,0,0,0,0
"AINL",0,0,0,0,0,0,0,0,0,0.023896573690725,0,0,0,0,0,0,0,0.0202939923476444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021405620005328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291974260431784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00791626466325817,0.0179940953705132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AINR",0,0,0,0,0,0,0,0,0.0228048239325313,0.0142434817405629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00656688242480784,0,0,0,0,0,0,0,0,0,0,0.0209147231402008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342143156690752,0.0278724389658718,0,0,0,0,0.0321473098466264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178925299129972,0.0083395822034515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIYL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00772806294960937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174468251526245,0,0.0189714659340679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244970986183823,0,0.0118601874438444,0,0,0,0,0,0,0,0,0,0,0.0182655897266554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIYR",0,0,0,0,0,0,0,0,0,0.012369686102146,0,0,0,0,0,0,0,0,0.0137528582926877,0,0.0135769758604641,0.0113774442985068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106374882417679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143645546251224,0,0.00706847230002707,0,0,0,0,0,0,0,0,0,0.00623157100226339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
