"","ADAL","ADAR","ADEL","ADER","ADFL","ADFR","ADLL","ADLR","AFDL","AFDR","AIAL","AIAR","AIBL","AIBR","AIML","AIMR","AINL","AINR","AIYL","AIYR","AIZL","AIZR","ALA","ALML","ALMR","ALNL","ALNR","AQR","ASEL","ASER","ASGL","ASGR","ASHL","ASHR","ASIL","ASIR","ASJL","ASJR","ASKL","ASKR","AUAL","AUAR","AVFL","AVFR","AVHL","AVHR","AVJL","AVJR","AVKL","AVKR","AVL","AVM","AWAL","AWAR","AWBL","AWBR","AWCL","AWCR","BAGL","BAGR","BDUL","BDUR","CEPDL","CEPDR","CEPVL","CEPVR","DVA","DVC","FLPL","FLPR","HSNL","HSNR","IL1DL","IL1DR","IL1L","IL1R","IL1VL","IL1VR","IL2DL","IL2DR","IL2L","IL2R","IL2VL","IL2VR","OLLL","OLLR","OLQDL","OLQDR","OLQVL","OLQVR","PLNL","PLNR","PVCL","PVCR","PVNL","PVNR","PVPL","PVPR","PVQL","PVQR","PVR","PVT","RIAL","RIAR","RIBL","RIBR","RICL","RICR","RIFL","RIFR","RIGL","RIGR","RIH","RIML","RIMR","RIR","RIS","RIVL","RIVR","RMDDL","RMDDR","RMDL","RMDR","RMDVL","RMDVR","RMED","RMEL","RMER","RMFL","RMFR","RMGL","RMGR","RMHL","RMHR","SAADL","SAADR","SAAVL","SAAVR","SDQL","SDQR","SMBDL","SMBDR","SMBVL","SMBVR","SMDDL","SMDDR","SMDVL","SMDVR","URADL","URADR","URAVL","URAVR","URBL","URBR","URXL","URXR","URYDL","URYDR","URYVL","URYVR","AVAL","AVBL","AVBR","AVER","RIPL","AVAR","AVDL","RIPR","SIBVR","SIBVL","AVDR","AVEL","SIBDR","SIBDL","SIADL","RID","SIADR","SIAVL","SIAVR","RMEV"
"AIAL",0.0425697246300481,0,0,0,0,0,0.0268050582985866,0,0,0,0,0,0.0206513573441614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200309164656319,0.0230497645222516,0.0233437341867416,0,0,0,0.0230590279652705,0,0,0,0.0300302454696719,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221384007527785,0,0,0,0.0226438055305695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIAR",0,0.0378978166319479,0,0,0,0,0,0.02730930326687,0,0,0,0,0,0.0210983329928723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234395472272557,0,0.0226380327881118,0,0,0,0,0,0.0304243402634922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245906381925876,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568257286448624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460622689868698,0.056529167968846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIBL",0,0.0575309446420468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238748541062296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00944810476200121,0.0203249029345007,0,0,0,0,0,0.0913166531738598,0,0.0126830845765137,0.0194945829915806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00865100350934792,0.0127716111117832,0,0,0,0,0,0,0,0,0,0.0130908903351004,0,0.0247178490749221,0,0,0,0,0,0,0,0,0,0,0,0,0.010308448711797,0.0125348269053416,0,0,0,0.0228541705028863,0,0,0,0,0,0.00699096612936117,0,0,0,0,0,0,0,0
"AIBR",0.0604464904119751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467121547267813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239366282723126,0,0,0,0,0,0,1.02776417966399,1.03072516742537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217985961954836,0,0.0201990030017728,0,0,0,0,0,0,0,0,0.0199075066812905,0.0120244447636887,0,0,0,0.0174441676320483,0,0,0,0,0,0,0,0,0,0.0149016342041108,0,0,0,0,0,0.0131636467478858,0.0131062953921484,0,0.0126317649109546,0,0,0,0,0,0,0.0154557523929199,0,0.0242841789578369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109683510789282,0.00586036504968973,0,0.00856548581608917,0,0,0.0103927273437065,0,0,0,0,0,0.0141110084464222,0,0,0,0,0
"AIML",0.0260141630970636,0,0,0,0,0,0,0,0,0,0.0185932164839425,0,0,0,0,0.0157114541343449,0,0,0,0,0,0,0,0.372693489271953,0,0,0,0,0,0,0.0360486882454653,0,0.0348273618467309,0,0,0,0.0243017399952529,0,0.044515041866135,0,0,0,0.0217176185046986,0.0237248346362125,0,0,0,0,0,0,0,0,0,0,0.0391261489997019,0,0,0,0,0,0,0,0,0,0.0585922778148388,0,0,0,0,0,0.551226897638421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02805795889819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690445007722601,0,0,0.0293011517611723,0.0245004532882175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467911129966872,0.0287997053139763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560326362767718,0.0385342460919505,0,0,0
"AIMR",0,0,0,0,0,0,0,0,0,0,0,0.00591057278976625,0,0,0,0,0,0,0,0.017160258229409,0,0.0130027655862368,0,0,0,0,0,0,0,0,0,0.0249281442114756,0,0.0243004857526038,0,0,0,0,0,0.033135148309848,0,0,0.0358469210999181,0.0366796315135356,0,0,0,0.0215575783966596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563506353934203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04059069543476,0,0,0,0,0,0,0,0,0,0,0,0,0.00975839122082887,0.0419490455930987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387772545987819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377984467945196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192857755831533,0,0,0,0,0,0,0,0,0
"AINL",0,0,0,0,0,0,0,0,0.0215988572650557,0.034786151575106,0,0,0.0199584127586276,0.0299200664335931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102211102205497,0,0,0,0,0,0,0,0,0,0,0,0,0.0311600797545915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425025822147534,0,0,0,0,0,0,0.0452073935376587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343160426336029,0.0115236764085404,0.0261939362988483,0,0,0,0,0,0,0,0,0.0253466797705464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338469990476445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AINR",0,0,0,0,0,0,0,0,0.0331968955979885,0,0,0,0,0.0186297837082352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00955938580826457,0,0,0,0,0,0,0,0,0,0,0.030445483052191,0.01374242481674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017573065627456,0,0.0405738035579147,0,0,0,0,0.0467967168653422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260460878480339,0.0121398981442648,0,0,0,0,0,0,0,0.0251672465251217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325430887800121,0,0,0,0
"AIYL",0,0,0,0,0,0,0,0,0.0300975942443391,0,0,0,0,0,0,0,0,0,0,0,0.0112497118886719,0.0226971599699858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356603334318224,0,0.0172648298233178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIYR",0,0,0,0,0,0.0180637876703642,0,0,0,0.0180065050854025,0,0,0,0.0110743678925142,0,0,0,0,0.0200199835906214,0,0,0.0165621024598517,0,0,0,0,0,0,0,0.0167387415871646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154849512380165,0,0,0.0167772139350333,0,0.0344705066642122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209104276188491,0,0.0102895482848495,0,0,0,0,0,0,0,0,0,0.00907127424380114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIZL",0,0,0,0,0.0228933101667414,0,0,0,0,0,0.015088601502873,0,0.0195249227951419,0.028093432151984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117508481243111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175736418060721,0,0.0185887204226952,0,0,0,0,0.048430938773358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278043678771317,0,0,0,0,0,0,0,0,0,0,0.0102512397497205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165925675308442,0,0.0134242105651273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518575669389543,0,0,0,0,0,0,0.0316396003229142,0,0,0,0,0,0,0,0.0259733656322323,0,0,0,0,0,0,0,0
"AIZR",0,0,0,0,0,0,0,0,0,0.0214924374235741,0,0.0144303092211758,0.0272433140163555,0.016939307502725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111079783756429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030559593381723,0,0.0485968917513315,0,0,0,0,0,0,0,1.01117519576272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334706834467213,0.0252272116999928,0,0,0,0,0,0,0,0,0,0,0.0105361885861005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201248819192965,0.0150190478799007,0,0.0135022271455721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227282615405633,0,0,0,0,0,0,0,0.0319189778053845,0,0,0,0,0,0,0,0
"ALA",0,0,0,0,0,0,0.0150171215565351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194673912906702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06828930268155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178175037160618,0,0,0,0,0,0,0,0.0194195769054709,0,0,0,0,0,0,0,0
"ALML",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21753228735746,0,0.414482954392616,0,0.429520270127488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632900914856174,0,0.657132464169908,0.664990692261577,0,0,0,0,0.645877767825984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405170841431233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399286558384628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680827377662937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184382747884877,0,0.379080033144079,0,0.393427222604547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666067181785706,0,0,0,0,0,0,0.681102312035539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103524356769464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362059605855967,0,0,0,0.357043695387028,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALNL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05391240866214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03508657301123,0,0,0,0,0,0,0,0,0,0,0,0.986740213787534,0,0,0,0,0,1.05702467016688,0,0,0,0,1.04116224587016,0,0,0,0,0,1.05433066497149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
