"","ntype","x","y","z"
"AVDR","inter",0.028634375,0.00224875,-0.004633125
"RID","modulatory",0.021004375,0.006873125,-0.001308125
"AVAL","inter",0.0219625,0.00293125,0.003679375
"AVDL","inter",0.02858625,0.002340625,0.003985625
"SIBDL","motor",0.02349375,0.00056,0.002734375
"SIBVL","motor",0.02604875,-0.001089375,0.00119875
"AVER","inter",0.022763125,0.001588125,-0.002664375
"AVEL","inter",0.0223475,0.00200375,0.00261625
"SIBDR","motor",0.02384375,0.000625625,-0.00294
"SIBVR","motor",0.02338875,-0.0006825,-0.000555625
"SIADL","motor",0.02436,-0.000721875,0.000966875
"SIADR","motor",0.023305625,-0.000975625,-0.000695625
"RIPL","inter",0.01544375,0.003486875,0.002786875
"RMEL","motor",0.016638125,0.003810625,0.00322
"RIPR","inter",0.0156275,0.003110625,-0.00287
"SIAVL","motor",0.029220625,-0.001474375,0.001456875
"SIAVR","motor",0.0304675,-0.0021525,-0.00091875
