"","ntype","x","y","z"
"ASJL","sensory",0.05685325,-1.775e-05,0.0050055
"ASJR","sensory",0.056808875,-0.0009585,-0.005316125
"ASKL","sensory",0.048572875,0.01065,0.0039405
"ASKR","sensory",0.048306625,0.00992225,-0.005609
"AUAL","sensory",0.054057625,0.0007455,0.0074195
"AUAR","sensory",0.0539245,0.00019525,-0.008546625
"AVFL","modulatory",0.083753375,-0.0069225,0.003097375
"AVFR","modulatory",0.08479175,-0.007623625,0.000434875
"AVHL","modulatory",0.0556285,0.008564375,0.006966875
"AVHR","modulatory",0.05575275,0.007952,-0.008670875
"AVJL","inter",0.0577585,0.006327875,0.007517125
"AVJR","inter",0.057802875,0.006700625,-0.008511125
"AVKL","modulatory",0.077558625,-0.00527175,0.00339025
"AVKR","modulatory",0.067166,-0.0050055,-0.002813375
"AVL","modulatory",0.06285275,-0.004322125,0.000328375
"AVM","sensory",0.2541445,-0.0010295,0.009017
"AWAL","sensory",0.05110225,0.005830875,0.005191875
"AWAR","sensory",0.0508005,0.005795375,-0.007073375
"AWBL","sensory",0.050907,0.00736625,0.0075615
"AWBR","sensory",0.0509425,0.00718875,-0.009096875
"AWCL","sensory",0.04954025,0.0026625,0.008014125
"AWCR","sensory",0.050081625,0.00154425,-0.008440125
"BAGL","sensory",0.034337375,0.005049875,0.00757925
"BAGR","sensory",0.034994125,0.00360325,-0.007313
"BDUL","inter",0.165279125,0.0067805,-0.008990375
"BDUR","inter",0.164480375,0.010215125,0.006984625
"CEPDL","modulatory",0.04400225,0.01208775,0.00328375
"CEPDR","modulatory",0.0446235,0.01144875,-0.006274625
"CEPVL","modulatory",0.03491425,0.000914125,0.00406475
"CEPVR","modulatory",0.0361035,0.000896375,-0.00392275
"DVA","sensory",0.6841205,0.009727,-0.001428875
"DVC","modulatory",0.68591325,0.010516875,0.001375625
"FLPL","sensory",0.071985125,1.775e-05,0.00938975
"FLPR","sensory",0.0664915,0.000204125,-0.010082
"IL1DL","motor",0.029030125,0.011644,0.00193475
"IL1DR","motor",0.0300685,0.01084525,-0.004073625
"IL1L","motor",0.027051,0.006416625,0.00619475
"IL1R","motor",0.027485875,0.0050055,-0.006177
"IL1VL","motor",0.02568425,0.0014555,0.0033015
"IL1VR","motor",0.0263055,0.000852,-0.0015265
"IL2DL","sensory",0.021486375,0.01095175,0.00385175
"IL2DR","sensory",0.023456625,0.011049375,-0.0059285
"IL2L","sensory",0.02653625,0.007037875,0.008120625
"IL2R","sensory",0.026767,0.005866375,-0.00781
"IL2VL","sensory",0.022498125,0.00189925,0.00449075
"IL2VR","sensory",0.0251695,0.000559125,-0.003692
"OLLL","sensory",0.02781425,0.008919375,0.00537825
"OLLR","sensory",0.028897,0.007623625,-0.006398875
"OLQDL","sensory",0.033325625,0.01262025,0.001917
"OLQDR","sensory",0.03434625,0.011883625,-0.004996625
"OLQVL","sensory",0.03253575,0.003487875,0.005467
"OLQVR","sensory",0.03306825,0.002760125,-0.00523625
"PVCL","inter",0.68996025,0.005777625,0.004304375
"PVCR","inter",0.68882425,0.00530725,-0.004606125
"PVPL","inter",0.649516875,-0.002902125,0.000949625
"PVPR","inter",0.654185125,-0.001606375,-0.002263125
"PVQL","modulatory",0.68051725,0.00534275,0.005688875
"PVQR","modulatory",0.680961,0.005422625,-0.004961125
"PVR","inter",0.698205125,0.007162125,-0.0034435
"PVT","inter",0.648984375,-0.00257375,-0.001641875
"RIAL","inter",0.045448875,0.00885725,0.005103125
"RIAR","inter",0.04584825,0.008102875,-0.0064965
"RIBL","inter",0.0550605,0.002724625,0.00534275
"RIBR","inter",0.054741,0.00204125,-0.0059995
"RICL","modulatory",0.062879375,0.0002485,0.007126625
"RICR","modulatory",0.062098375,-0.0001775,-0.007304125
"RIFL","inter",0.08788025,-0.00722425,0.002050125
"RIFR","inter",0.094438875,-0.008031875,-0.001517625
"RIGL","inter",0.101769625,-0.007747875,0.001517625
"RIGR","inter",0.104467625,-0.007925375,0.000204125
"RIH","inter",0.041756875,-0.000612375,-7.1e-05
"RIML","inter",0.056436125,-0.000559125,0.003949375
"RIMR","inter",0.055593,-0.001766125,-0.004126875
"RIR","inter",0.04801375,0.0006745,0.0012425
"RIS","modulatory",0.078037875,-0.006816,0.000310625
"RIVL","motor",0.056826625,0.010579,0.003931625
"RIVR","motor",0.05713725,0.010037625,-0.006398875
"RMDDL","motor",0.04950475,0.0001775,0.003470125
"RMDDR","motor",0.04975325,-0.00040825,-0.002059
"RMDL","motor",0.0450495,0.0029465,0.00725975
"RMDR","motor",0.046425125,0.001659625,-0.0069935
"RMDVL","motor",0.042005375,0.00630125,0.008662
"RMDVR","motor",0.04318575,0.004694875,-0.009061375
"RMED","motor",0.03562425,0.01375625,-0.002414
"RMEL","motor",0.033751625,0.007730125,0.006532
"RMER","motor",0.0343995,0.0063545,-0.006984625
"RMEV","motor",0.03963575,-0.000239625,0.001038375
"RMGL","modulatory",0.087037125,-0.000399375,0.00814725
"RMGR","modulatory",0.0855905,-0.001304625,-0.009167875
"RMHL","motor",0.051617,-0.00069225,0.002795625
"RMHR","motor",0.05010825,-0.00108275,-0.00012425
"SAADL","sensory",0.047428,-0.00079875,0.001286875
"SAADR","sensory",0.044614625,-0.00076325,-0.000346125
"SAAVL","sensory",0.043531875,0.008635375,0.006106
"SAAVR","sensory",0.04378925,0.007313,-0.007126625
"SDQL","sensory",0.496334375,0.007978625,-0.006611875
"SDQR","sensory",0.214127125,0.01775,0.008777375
"SMBDL","motor",0.053063625,-0.001641875,0.0021655
"SMBDR","motor",0.05344525,-0.001286875,-0.00168625
"SMBVL","motor",0.055672875,-0.002556,0.003150625
"SMBVR","motor",0.059719875,-0.00395825,-0.001428875
"SMDDL","motor",0.04535125,-0.000426,0.00218325
"SMDDR","motor",0.04801375,8.875e-06,-0.002387375
"SMDVL","motor",0.045431125,0.0096915,0.006469875
"SMDVR","motor",0.045289125,0.008120625,-0.008236
"URADL","motor",0.027237375,0.011120375,0.00399375
"URADR","motor",0.0277965,0.0099755,-0.00573325
"URAVL","motor",0.029793375,0.002085625,0.00420675
"URAVR","motor",0.031035875,0.00214775,-0.003416875
"URBL","sensory",0.030219375,0.006682875,0.007463875
"URBR","sensory",0.030414625,0.005511375,-0.007676875
"URXL","sensory",0.044951875,0.011581875,0.002014625
"URXR","sensory",0.045147125,0.01091625,-0.00459725
"URYDL","sensory",0.0304945,0.010934,0.004118
"URYDR","sensory",0.03125775,0.009585,-0.00615925
"URYVL","sensory",0.02902125,0.004544,0.005955125
"URYVR","sensory",0.02937625,0.00303525,-0.005369375
"AVAL","inter",0.0445525,0.00594625,0.007463875
"AVBL","inter",0.05656925,0.00452625,0.006319
"AVBR","inter",0.055637375,0.004286625,-0.008351375
"AVEL","inter",0.0453335,0.00406475,0.00530725
"RIPL","inter",0.03132875,0.007073375,0.005653375
"SIBVL","motor",0.05284175,-0.002209875,0.00243175
"AVER","inter",0.046176625,0.003221625,-0.005404875
"AVAR","inter",0.045253625,0.004251125,-0.008102875
"AVDR","inter",0.058086875,0.00456175,-0.009398625
"AVDL","inter",0.05798925,0.004748125,0.008085125
"SIBDL","motor",0.04765875,0.001136,0.005546875
"RID","modulatory",0.042608875,0.013942625,-0.002653625
"SIAVL","motor",0.059276125,-0.002990875,0.002955375
"SIADR","motor",0.047277125,-0.001979125,-0.001411125
"SIBVR","motor",0.04744575,-0.0013845,-0.001127125
"RIPR","inter",0.0317015,0.006310125,-0.005822
"SIBDR","motor",0.04836875,0.001269125,-0.005964
"SIADL","motor",0.049416,-0.001464375,0.001961375
"SIAVR","motor",0.0618055,-0.0043665,-0.00186375
"RMFL","motor",0.0515815,-0.00271575,0.001570875
