"","ntype","x","y","z"
"ADAL","inter",0.08372675,2.6625e-05,0.009150125
"ADAR","inter",0.08095775,-0.001269125,-0.0103305
"ADEL","modulatory",0.078073375,-0.0001065,0.00931875
"ADER","modulatory",0.073866625,-0.00051475,-0.010179625
"ADFL","sensory",0.04808475,0.007526,0.0062125
"ADFR","sensory",0.048484125,0.006345625,-0.007881
"ADLL","sensory",0.052477875,0.010694375,0.00342575
"ADLR","sensory",0.052185,0.01009975,-0.00562675
"AFDL","sensory",0.047365875,0.005316125,0.006647375
"AFDR","sensory",0.047135125,0.005067625,-0.008156125
"AIAL","inter",0.05923175,-0.004144625,0.00058575
"AIAR","inter",0.059755375,-0.004197875,-0.000878625
"AIBL","inter",0.049247375,0.002245375,0.005280625
"AIBR","inter",0.04964675,0.002316375,-0.005884125
"AIML","modulatory",0.070387625,-0.006008375,0.002547125
"AIMR","modulatory",0.062648625,-0.004446375,-0.0030885
"AINL","inter",0.06054525,0.00587525,0.008599875
"AINR","inter",0.05979975,0.006221375,-0.0096205
"AIYL","inter",0.06338525,-0.003905,0.00473925
"AIYR","inter",0.052744125,-0.001322375,-0.000994
"AIZL","inter",0.0611665,0.002245375,0.00708225
"AIZR","inter",0.059915125,0.0015265,-0.0077035
"ALA","modulatory",0.04549325,0.013632,-0.001917
"ALML","sensory",0.299522375,0.010463625,-0.01052575
"ALMR","sensory",0.278036,0.017741125,0.009664875
"ALNL","sensory",0.6961195,0.010729875,0.003115125
"ALNR","sensory",0.6981075,0.010783125,-0.00355
"AQR","sensory",0.077736125,-0.0031595,-0.009451875
"ASEL","sensory",0.05440375,0.004819125,0.007605875
"ASER","sensory",0.05408425,0.00481025,-0.009203375
"ASGL","sensory",0.05323225,0.00768575,0.006221375
"ASGR","sensory",0.053383125,0.0071,-0.00729525
"ASHL","sensory",0.05184775,0.003736375,0.007410625
"ASHR","sensory",0.051324125,0.003381375,-0.0090525
"ASIL","sensory",0.05621425,0.00899925,0.0051475
"ASIR","sensory",0.05628525,0.0086265,-0.0063545
