"","ADAL","ADAR","ADEL","ADER","ADFL","ADFR","ADLL","ADLR","AFDL","AFDR","AIAL","AIAR","AIBL","AIBR","AIML","AIMR","AINL","AINR","AIYL","AIYR","AIZL","AIZR","ALA","ALML","ALMR","ALNL","ALNR","AQR","ASEL","ASER","ASGL","ASGR","ASHL","ASHR","ASIL","ASIR","ASJL","ASJR","ASKL","ASKR","AUAL","AUAR","AVFL","AVFR","AVHL","AVHR","AVJL","AVJR","AVKL","AVKR","AVL","AVM","AWAL","AWAR","AWBL","AWBR","AWCL","AWCR","BAGL","BAGR","BDUL","BDUR","CEPDL","CEPDR","CEPVL","CEPVR","DVA","DVC","FLPL","FLPR","HSNL","HSNR","IL1DL","IL1DR","IL1L","IL1R","IL1VL","IL1VR","IL2DL","IL2DR","IL2L","IL2R","IL2VL","IL2VR","OLLL","OLLR","OLQDL","OLQDR","OLQVL","OLQVR","PLNL","PLNR","PVCL","PVCR","PVNL","PVNR","PVPL","PVPR","PVQL","PVQR","PVR","PVT","RIAL","RIAR","RIBL","RIBR","RICL","RICR","RIFL","RIFR","RIGL","RIGR","RIH","RIML","RIMR","RIR","RIS","RIVL","RIVR","RMDDL","RMDDR","RMDL","RMDR","RMDVL","RMDVR","RMED","RMEL","RMEV","RMFL","RMFR","RMGL","RMGR","RMHL","RMHR","SAADL","SAADR","SAAVL","SAAVR","SDQL","SDQR","SMBDL","SMBDR","SMBVL","SMBVR","SMDDL","SMDDR","SMDVL","SMDVR","URADL","URADR","URAVL","URAVR","URBL","URBR","URXL","URXR","URYDL","URYDR","URYVL","URYVR","AVAL","AVAR","AVBL","AVBR","AVDR","RIPL","RIPR","AVER","SIADL","SIBVR","AVDL","AVEL","SIBVL","SIBDL","RID","SIBDR","SIADR","RMER","SIAVL","SIAVR"
"AIAL",0.0425697246300481,0,0,0,0,0,0.0268050582985866,0,0,0,0,0,0.0206513573441614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230497645222516,0.0233437341867416,0,0,0,0,0,0,0,0.0300302454696719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226438055305695,0.0227658023671883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467300672830807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIAR",0,0.0378978166319479,0,0,0,0,0,0.02730930326687,0,0,0,0,0,0.0210983329928723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234395472272557,0,0,0.0241885208037175,0,0,0,0,0.0304243402634922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245906381925876,0.0219547855421802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00632050495407,0,0,0,0,0,0,0,0,0,0.056529167968846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIBL",0,0,0,0,0,0,0.0149560874024801,0,0,0,0.0206513573441614,0,0,0.0180956814275706,0,0,0,0,0.0249877817877433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00886607768935902,0.0238748541062296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248539426654128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00944810476200121,0.0203249029345007,0,0,0,0,0,0.0913166531738598,0,0,0.0194945829915806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114061526194473,0,0,0,0,0.00865100350934792,0,0.0139503061262334,0,0,0,0,0,0,0,0,0.0130908903351004,0,0.0247178490749221,0,0,0,0,0,0,0,0,0,0,0,0,0.010308448711797,0.0228541705028863,0.0125348269053416,0,0,0,0,0,0,0,0,0,0.0103566862083752,0,0,0,0,0,0,0
"AIBR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028093432151984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228437656549194,0,0,0,0,0,0,0,0.0491996319020466,0,0,0,0,0,0,0,0,0,0,0.0239366282723126,0,0,0,0,0,0,1.02776417966399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217985961954836,0,0.0201990030017728,0.0082653874965878,0,0,0,0,0.0868155284051513,0,0,0.0199075066812905,0.0120244447636887,0,0,0,0.0174441676320483,0,0,0,0,0,0,0,0,0,0.0149016342041108,0,0,0,0,0,0.0131636467478858,0.0131062953921484,0,0.0126317649109546,0,0,0,0,0,0,0.0154557523929199,0,0.0242841789578369,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238762345639576,0.00856548581608917,0,0.0109683510789282,0,0,0,0.00586036504968973,0,0,0,0.0196318822924281,0,0,0,0,0,0,0,0
"AIML",0,0,0,0,0,0,0,0,0,0,0.0185932164839425,0,0,0,0,0,0,0,0,0,0.021348409246212,0,0,0.372693489271953,0,0,0,0,0,0,0.0360486882454653,0,0,0,0,0,0.0243017399952529,0,0.044515041866135,0,0,0,0.0217176185046986,0.0237248346362125,0,0,0.0297066565891068,0,0,0,0,0,0,0,0.0391261489997019,0,0,0,0,0,0,0,0,0,0.0585922778148388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284128920589976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298673654536289,0,0,0,0,0,0,0,0,0,0,0,0.0245004532882175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287997053139763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIMR",0,0.0323037595831062,0,0,0,0,0,0,0,0,0,0.00591057278976625,0,0,0.0157114541343449,0,0,0,0,0,0,0.0130027655862368,0,0,0.351320803345434,0,0,0,0,0,0,0.0249281442114756,0,0.0243004857526038,0,0,0,0,0,0.033135148309848,0,0,0.0358469210999181,0.0366796315135356,0,0,0,0.0215575783966596,0,0,0,0,0,0,0,0.0284494687656356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518801477152207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018277856308933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325308028607599,0,0,0.0192857755831533,0,0,0,0.0234437608471049,0,0,0,0,0.0294427618638584,0,0,0,0,0,0
"AINL",0,0,0,0,0,0,0,0,0.0215988572650557,0.034786151575106,0,0,0.0199584127586276,0,0,0,0,0.0295418875946722,0,0.0231741898034618,0,0,0,0,0,0,0,0,0.0102211102205497,0,0,0,0,0,0,0,0,0,0,0,0,0.0311600797545915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425025822147534,0,0,0,0,0,0,0.0452073935376587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261939362988483,0,0,0,0,0,0,0,0,0.0253466797705464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231092957824876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367734359690354,0,0,0,0,0,0,0,0,0,0,0,0,0.0367014498287363,0,0,0,0,0
"AINR",0,0,0,0,0,0,0,0,0.0331968955979885,0.0207341822805663,0,0.0220295456255627,0,0.0186297837082352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00955938580826457,0,0,0,0,0,0,0,0,0,0,0.030445483052191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498056493916918,0.0405738035579147,0,0,0,0,0.0467967168653422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260460878480339,0.0121398981442648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325430887800121,0,0,0,0,0
"AIYL",0,0,0,0,0.0310269515149732,0,0,0,0,0,0,0,0.0249877817877433,0,0,0,0,0,0,0,0.0112497118886719,0.0226971599699858,0,0,0,0,0,0,0.0208053581777928,0,0,0,0,0,0,0,0,0,0,0,0.0174310197300137,0,0,0,0,0,0,0,0,0,0,0,0.0253972771209091,0,0.0276166909166812,0,0,0,0,0.051416465356592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356603334318224,0.0389399115876388,0.0172648298233178,0.0243174529337984,0,0,0,0,0,0,0,0.0125576876821282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177460408436643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIYR",0,0,0,0,0,0,0,0,0,0.0180065050854025,0,0,0,0,0,0,0,0,0,0,0,0.0165621024598517,0,0,0,0,0,0,0,0.0167387415871646,0,0,0,0,0,0,0,0,0,0,0,0.012623271834072,0,0,0,0,0,0,0,0,0,0,0,0.0154849512380165,0,0.0192563789248362,0,0,0.0344705066642122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209104276188491,0,0.0102895482848495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
